,Available as of,Available date,Neighbourhood or locality,Covered parking spaces,Outdoor parking spaces,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Flood zone type,Tenement building,Address,Website,External reference,Construction year,Building condition,Street frontage width,Number of frontages,Surroundings type,Living area,Living room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Shower rooms,Toilets,Basement,Attic,Furnished,Surface of the plot,Width of the lot on the street,"Gas, water & electricity",Garden surface,Terrace,Elevator,TV cable,Swimming pool,Heating type,Double glazing,Planning permission obtained,Total ground floor buildable,Subdivision permit,Possible priority purchase right,Latest land use designation,Price,Cadastral income,Living room surface,Dining room,Basement surface,Attic surface,Connection to sewer network,Proceedings for breach of planning regulations,Virtual visit,Office surface,Office,Accessible for disabled people,Intercom,As built plan,Garden orientation,Terrace surface,Bedroom 4 surface,Dressing room,Laundry room,Professional space,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Caretaker,Secure access / alarm,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Conformity certification for fuel tanks,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,How many fireplaces?,Garden,Bedroom 5 surface,Professional space surface
10154574,After signing the deed,August 9 2022 - 12:00 AM,,,,356 kWh/m² kilowatt hour per square meters,E,20220805002358,90 kg CO₂/m²,64133 kWh/year,,Yes,Rue de l'Yser 425 4430- Ans,http://www.labelimmo.be,4968264,1918,To be done up,,2,Urban,180m² square meters,,Installed,17m² square meters,3,23m² square meters,13m² square meters,22m² square meters,2,,2,,,No,249m² square meters,,No,100m² square meters,,No,,No,Fuel oil,,,,No,,"Living area (residential, urban or rural)","Make an offer starting from€ 219,000 Make an offer starting from219000 €",€ 718 718 €,15m² square meters,Yes,19m² square meters,,Connected,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154573,After signing the deed,August 9 2022 - 12:00 AM,,,,356 kWh/m² kilowatt hour per square meters,E,20220805002358,90 kg CO₂/m²,64133 kWh/year,,No,Rue de l'Yser 425 4430- Ans,http://www.labelimmo.be,4968242,1918,To be done up,,2,Urban,180m² square meters,,Installed,17m² square meters,3,23m² square meters,13m² square meters,22m² square meters,2,,2,,,No,249m² square meters,,No,100m² square meters,,No,,No,Fuel oil,,,,No,,"Living area (residential, urban or rural)","Make an offer starting from€ 219,000 Make an offer starting from219000 €",€ 718 718 €,15m² square meters,Yes,19m² square meters,,Connected,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146116,At delivery,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,No,Theofiel De Biestraat 11 2220- Heist-op-den-Berg,http://www.heylenvastgoed.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10145147,After signing the deed,January 1 2023 - 12:00 AM,,1,,372 kWh/m² kilowatt hour per square meters,E,20220930001900,92 kg CO₂/m²,108270 kWh/year,Non flood zone,No,Grand rue 191 4870- Trooz,http://www.groupecadimmo.be,4945925,1900,To renovate,20 m,4,"Living area (residential, urban or rural)",180m² square meters,,Not installed,19m² square meters,4,28m² square meters,13m² square meters,12m² square meters,3,2,2,Yes,Yes,No,555m² square meters,20 m meters,No,380m² square meters,Yes,No,Yes,No,Fuel oil,Yes,,170m² square meters,,,,"€ 325,000 325000 €",€ 870 870 €,34m² square meters,Yes,,,Not connected,,,18m² square meters,Yes,No,,,,,12m² square meters,,,,,,,,,,,,,,,,,,,,,,,,,
10145907,Depending on the tenant,,Brussels,,,445 kWh/m² kilowatt hour per square meters,G,G,114 kg CO₂/m²,Not specified,,Yes,Rue Emile Bouilliot 61 1050- Ixelles,http://www.caron-realestate.be,4964294,1924,To be done up,7 m,2,,350m² square meters,,Installed,,4,,,,3,,3,Yes,,No,263m² square meters,7 m meters,,140m² square meters,Yes,No,,,Fuel oil,Yes,,120m² square meters,,No,,"€ 800,000 800000 €","€ 2,662 2662 €",,,,,,,Link to the virtual visit,,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154065,After signing the deed,,,,2,458 kWh/m² kilowatt hour per square meters,E,Certificaat-20220713-0002640218-RES-1.pdf,Not specified,Not specified,Non flood zone,No,Meyskensstraat 222 1780- Wemmel,http://www.structura.be,1783656 - 2022/258/S,1963,To renovate,,2,,414m² square meters,,Semi equipped,,6,,,,1,,3,Yes,,No,515m² square meters,,,,Yes,,,,Gas,Yes,Yes,,No,Yes,"Living area (residential, urban or rural)","€ 398,000 398000 €","€ 1,727 1727 €",,,,,,No,,,,,,No,North East,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,,
10152352,After signing the deed,,,2,,382 kWh/m² kilowatt hour per square meters,E,201602180018020,Not specified,157056 kWh/year,,No,Chaussée de Huy 231 1325- Chaumont-Gistoux,http://www.trust-realestate.be,5666 - 4604152,1842,To be done up,,3,,800m² square meters,,Semi equipped,23m² square meters,5,23m² square meters,23m² square meters,23m² square meters,1,,1,,,No,2310m² square meters,,,2310m² square meters,,,,,Fuel oil,,,,,,,"€ 550,000 550000 €",€ 716 716 €,47m² square meters,Yes,38m² square meters,,,,,25m² square meters,Yes,,,No,South,,21m² square meters,,,,,,,,,,,,,,,,,,,,,,,,13m² square meters,
10152812,To be defined,January 1 2023 - 12:00 AM,Est de Bruxelles + VL,1,1,207 kWh/m² kilowatt hour per square meters,D,Not specified,41 kg CO₂/m²,Not specified,,No,"Val des Seigneurs, 9a 1150- Woluwe-St-Pierre",http://www.sorimo.be,4962212,1969,As new,,3,Countryside,270m² square meters,,Hyper equipped,20m² square meters,4,55m² square meters,15m² square meters,14m² square meters,2,1,3,Yes,,No,486m² square meters,,No,200m² square meters,,No,,No,Gas,Yes,,350m² square meters,,,,"€ 1,490,000 1490000 €","€ 4,797 4797 €",51m² square meters,,,,,,,14m² square meters,Yes,No,,,,30m² square meters,12m² square meters,,,,,,,,,,Yes,,,,,,,,,,,,,,,
10152241,To be defined,,,3,,373 kWh/m² kilowatt hour per square meters,G,2021-1008-test,74 kg CO₂/m²,Not specified,,No,Avenue Louise 404a 1050- Ixelles,http://www.barnes-brussels.com,5163681,1900,Good,,2,,540m² square meters,,Installed,,7,,,,5,,6,Yes,,No,450m² square meters,7.2 m meters,No,300m² square meters,Yes,No,No,No,Gas,Yes,,540m² square meters,Yes,No,,"€ 1,780,000 1780000 €","€ 4,813 4813 €",35m² square meters,Yes,,,Connected,No,,,Yes,No,No,No,,,,No,Yes,,No,Yes,No,Yes,Yes,No,No,,Yes,,,,No,No,No,No,No,,1,,,
10143254,After signing the deed,,Zone Province de Liège,1,2,482 kWh/m² kilowatt hour per square meters,F,20220820003559,51 kg CO₂/m²,70159 kWh/year,Non flood zone,No,Chaussée de Liège 7 6900- Marche,https://honesty.be/,4961946,1975,Good,15 m,4,Isolated,130m² square meters,,Semi equipped,14m² square meters,3,14m² square meters,10m² square meters,12m² square meters,1,2,3,,,No,991m² square meters,60 m meters,No,,,No,Yes,No,Fuel oil,Yes,Yes,,No,No,,"€ 425,000 425000 €",€ 780 780 €,35m² square meters,,39m² square meters,66m² square meters,Not connected,No,,,,No,,,,14m² square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
10143136,After signing the deed,December 20 2022 - 12:00 AM,,,,217 kWh/m² kilowatt hour per square meters,C,2223752,1632 kg CO₂/m²,Not specified,Non flood zone,Yes,Stationstraat 30 9600- Ronse,,4862197,1885,Good,6.5 m,2,Urban,306m² square meters,,Installed,,6,10m² square meters,11m² square meters,8m² square meters,5,,5,,Yes,No,460m² square meters,6.5 m meters,Yes,215m² square meters,,No,Yes,No,Gas,Yes,,195m² square meters,No,Yes,Residential area with cultural historical aesthetic value,"€ 450,000 450000 €","€ 1,690 1690 €",,,,,Connected,No,,,,No,,,,12m² square meters,8m² square meters,,,,,,,,,,,,,,,,,,,,,,,,10m² square meters,
10142887,After signing the deed,January 1 2023 - 12:00 AM,,1,1,424 kWh/m² kilowatt hour per square meters,G,20220531-0000613819-01-6,85 kg CO₂/m²,Not specified,,No,Avenue Baron Albert d'Huart 130 1950- Kraainem,http://www.latouretpetit.be,4962685,1936,To renovate,8 m,3,Isolated,200m² square meters,,Installed,11m² square meters,4,19m² square meters,15m² square meters,13m² square meters,1,1,3,Yes,Yes,No,360m² square meters,,No,,Yes,,,,Gas,Yes,,,,,,"€ 750,000 750000 €","€ 2,625 2625 €",33m² square meters,Yes,,,Connected,,Link to the virtual visit,,,,,,,,16m² square meters,,,,,,,,,,,,,,,,,,,,,,,,,
10067960,At delivery,,,1,2,Not specified,Not specified,Not specified,Not specified,Not specified,Non flood zone,No,Kustlaan 105 8300- Knokke-Heist,http://www.hetzoute.be,4881852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,No,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10143366,To be defined,September 30 2023 - 12:00 AM,Basse Meuse,1,1,245 kWh/m² kilowatt hour per square meters,C,20220812007352,61 kg CO₂/m²,76890 kWh/year,Non flood zone,No,Rue de la Wallonie 2A 4680- Oupeye,http://www.nigel-immo.be,4861727,1899,Good,13 m,4,Isolated,1010m² square meters,,Hyper equipped,21m² square meters,6,36m² square meters,15m² square meters,15m² square meters,3,3,4,Yes,Yes,No,16959m² square meters,275 m meters,No,15324m² square meters,,,,,Fuel oil,Yes,Yes,348m² square meters,No,No,"Living area (residential, urban or rural)","Make an offer starting from€ 849,000 Make an offer starting from849000 €","€ 1,456 1456 €",40m² square meters,Yes,,,,No,Link to the virtual visit,13m² square meters,Yes,,,,,80m² square meters,14m² square meters,,,,,,,,,,,,,,,,,,,,,,,,13m² square meters,167m² square meters
10149679,After signing the deed,,,2,1,280 kWh/m² kilowatt hour per square meters,C,20220929-0002685019-RES-1,Not specified,Not specified,,No,Alsembergsesteenweg 660 1653- Dworp,http://www.multimmo.be,7766 - 3498,1973,Good,,2,,200m² square meters,,Installed,10m² square meters,3,15m² square meters,14m² square meters,7m² square meters,1,,2,Yes,,No,264m² square meters,6.9 m meters,Yes,150m² square meters,,,,,Gas,Yes,,,,,,"€ 324,000 324000 €",€ 823 823 €,31m² square meters,,,,,,,,,,,No,,20m² square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
10153840,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,No,Porte d'Ogy 78 7860- Lessines,http://www.immobeguin.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
