,Floor,Number of floors,Covered parking spaces,Outdoor parking spaces,Surroundings type,Living area,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Shower rooms,Toilets,Terrace surface,Terrace orientation,Accessible for disabled people,Intercom,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Tenement building,Address,Website,Available as of,Living room surface,Garden surface,Elevator,TV cable,Heating type,Double glazing,Garden orientation,Price,Kitchen type,Kitchen surface,Neighbourhood or locality,Construction year,Building condition,Virtual visit,Basement,Furnished,Thermic solar panels,External reference,Number of frontages,Swimming pool,Property name,Street frontage width,Dining room,Dressing room,Laundry room,Basement surface,Visio phone,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Latest land use designation,Monthly charges,Cadastral income,Agent's name,Flood zone type,Office,Armored door,Caretaker,Secure access / alarm,As built plan,E-level (overall energy performance),Conformity certification for fuel tanks,Heat pump,Photovoltaic solar panels,Common water heater,Total ground floor buildable,Living room,Garden,Terrace,Available date,Bedroom 4 surface,Obligation to build,How many fireplaces?,Jacuzzi,Sauna,Office surface,Professional space,Attic surface,Sea view,Attic,Internet,Type of building,Number of annexes,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Air conditioning
9160919,4,4,32,10,"Living area (residential, urban or rural)",101m² square meters,3,9m² square meters,9m² square meters,12m² square meters,1,1,2,45m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160934,1,4,,,"Living area (residential, urban or rural)",84m² square meters,2,10m² square meters,13m² square meters,,,,,25m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,38m² square meters,Yes,Yes,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160933,1,4,,,"Living area (residential, urban or rural)",84m² square meters,2,9m² square meters,12m² square meters,,,,,47m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,57m² square meters,Yes,Yes,Gas,Yes,South West,"€ 233,975 233975 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160884,3,,32,10,"Living area (residential, urban or rural)",63m² square meters,1,63m² square meters,,,,1,1,8m² square meters,South East,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,25m² square meters,,,Yes,Gas,,,"€ 173,200 173200 €",Installed,4m² square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160885,3,,32,10,"Living area (residential, urban or rural)",61m² square meters,1,63m² square meters,,,,1,1,8m² square meters,South East,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,25m² square meters,,,Yes,Gas,,,,Installed,4m² square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160880,1,3,32,10,"Living area (residential, urban or rural)",63m² square meters,1,63m² square meters,,,,1,1,8m² square meters,South East,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,25m² square meters,,,Yes,Gas,,,"€ 184,920 184920 €",Installed,4m² square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160931,1,4,,,"Living area (residential, urban or rural)",86m² square meters,2,9m² square meters,12m² square meters,,,,,32m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,,Yes,Yes,Gas,Yes,,"€ 229,530 229530 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160881,1,3,32,10,"Living area (residential, urban or rural)",61m² square meters,1,63m² square meters,,,,1,1,8m² square meters,South East,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,25m² square meters,,,Yes,Gas,,,"€ 191,940 191940 €",Installed,4m² square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160883,2,,32,10,"Living area (residential, urban or rural)",61m² square meters,1,63m² square meters,,,,1,1,8m² square meters,South East,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,25m² square meters,,,Yes,Gas,,,,Installed,4m² square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160808,4,8,1,,"Living area (residential, urban or rural)",95m² square meters,2,16m² square meters,13m² square meters,,1,1,1,8m² square meters,South,Yes,,155 kWh/m² kilowatt hour per square meters,D,2021201130000051122011,33 kg CO₂/m²,Not specified,No,Avenue René Gobert 26 1180- Uccle,,After signing the deed,50m² square meters,,Yes,Yes,Gas,Yes,,,USA hyper equipped,10m² square meters,METTEWIE - PARC DU SCHEUTBOS,2012,As new,,,No,,,2,,RESIDENCE DAVIS HOUSE,50 m,Yes,Yes,Yes,3m² square meters,Yes,Yes,No,No,No,Residential area with cultural historical aesthetic value,€ 200 200 €,"€ 1,425 1425 €",Cédric Mathonnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160932,1,4,,,"Living area (residential, urban or rural)",93m² square meters,2,9m² square meters,14m² square meters,,,,,8m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,,Yes,Yes,Gas,Yes,,"€ 227,135 227135 €",,10m² square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160882,2,,32,10,"Living area (residential, urban or rural)",63m² square meters,1,63m² square meters,,,,1,1,8m² square meters,South East,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,25m² square meters,,,Yes,Gas,,,"€ 170,770 170770 €",Installed,4m² square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160935,1,4,,,"Living area (residential, urban or rural)",84m² square meters,2,10m² square meters,13m² square meters,,,,,39m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,25m² square meters,Yes,Yes,Gas,Yes,,"€ 228,750 228750 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160938,1,4,,,"Living area (residential, urban or rural)",84m² square meters,2,10m² square meters,12m² square meters,,,1,1,8m² square meters,South East,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,,Yes,Yes,Gas,Yes,,"€ 218,145 218145 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160946,3,4,,,"Living area (residential, urban or rural)",94m² square meters,2,9m² square meters,14m² square meters,,,,,9m² square meters,South East,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,,Yes,Yes,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160936,1,4,,,"Living area (residential, urban or rural)",86m² square meters,2,9m² square meters,12m² square meters,,,,,50m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,92m² square meters,Yes,Yes,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160937,1,4,,,"Living area (residential, urban or rural)",87m² square meters,2,9m² square meters,12m² square meters,,,,,30m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,63m² square meters,Yes,Yes,Gas,Yes,South West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160948,3,4,,,"Living area (residential, urban or rural)",85m² square meters,2,10m² square meters,13m² square meters,,,,,8m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,,Yes,Yes,Gas,Yes,,"€ 222,945 222945 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160942,2,4,,,"Living area (residential, urban or rural)",85m² square meters,2,10m² square meters,13m² square meters,,,,,8m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,,Yes,Yes,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160943,2,4,,,"Living area (residential, urban or rural)",86m² square meters,2,11m² square meters,12m² square meters,,,,,8m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,,Yes,Yes,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160939,2,4,,,"Living area (residential, urban or rural)",86m² square meters,2,9m² square meters,14m² square meters,,,,,8m² square meters,South East,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,,Yes,Yes,Gas,Yes,,"€ 235,150 235150 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160945,2,4,,,"Living area (residential, urban or rural)",87m² square meters,2,10m² square meters,12m² square meters,,,,,8m² square meters,South East,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,,Yes,Yes,Gas,Yes,,"€ 223,165 223165 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160941,2,4,,,"Living area (residential, urban or rural)",85m² square meters,2,10m² square meters,13m² square meters,,,,,8m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,,Yes,Yes,Gas,Yes,,"€ 218,405 218405 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160944,2,4,,,"Living area (residential, urban or rural)",83m² square meters,2,9m² square meters,13m² square meters,,,,,8m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,,Yes,Yes,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160940,2,4,,,"Living area (residential, urban or rural)",87m² square meters,2,11m² square meters,12m² square meters,,,,,8m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,,Yes,Yes,Gas,Yes,,"€ 220,770 220770 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160947,3,4,,,"Living area (residential, urban or rural)",87m² square meters,2,11m² square meters,12m² square meters,,,,,8m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,,Yes,Yes,Gas,Yes,,"€ 225,270 225270 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160949,3,4,,,"Living area (residential, urban or rural)",85m² square meters,2,10m² square meters,13m² square meters,,,,,8m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,,Yes,Yes,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9161112,1,4,32,10,"Living area (residential, urban or rural)",,1,12m² square meters,,,,1,1,17m² square meters,South East,,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,,,,Yes,Gas,Yes,,"€ 184,920 184920 €",,,,,As new,,,,,,3,,CAP,,,,,,,,,,,,,,Valair La Russa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160952,4,4,,,"Living area (residential, urban or rural)",87m² square meters,2,10m² square meters,13m² square meters,,,,,54m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,,Yes,Yes,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9161524,1,2,,2,Urban,156m² square meters,2,,,,1,,1,34m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Bredabaan 467a 2990- Wuustwezel,http://www.dewaele.com,,,,Yes,,Electric,,,,Installed,,,2021,As new,,,No,,D2990-21009-2.7,3,No,,,,,,,,Yes,No,No,No,"Living area (residential, urban or rural)",,,,Recognized flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160950,3,4,,,"Living area (residential, urban or rural)",86m² square meters,2,11m² square meters,12m² square meters,,,,,8m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,,Yes,Yes,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160951,1,4,,,"Living area (residential, urban or rural)",84m² square meters,2,9m² square meters,13m² square meters,,,,,8m² square meters,South West,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,http://www.lixon-promotion.be,At delivery,30m² square meters,,Yes,Yes,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9161412,7,10,,,,214m² square meters,3,,,,1,1,1,41m² square meters,,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Avenue Louise 404a 1050- Ixelles,http://www.barnes-brussels.com,After signing the deed,,,Yes,No,Gas,Yes,,,,,,2017,Just renovated,,,No,No,2850161,,No,,,,No,Yes,,Yes,,No,No,No,,,,,,No,Yes,No,No,"Yes, conform",70,No,No,No,Yes,255m² square meters,,,,,,,,,,,,,,,,,,,,,,,,
9161020,1,1,,1,,74m² square meters,2,,,,,1,1,,,,,250 kWh/m² kilowatt hour per square meters,C,20180912015615,Not specified,Not specified,No,Grand' Route 69 A 1435- Corbais,http://www.gilmont.be,After signing the deed,30m² square meters,,,,,Yes,,,Installed,,,1900,Just renovated,Link to the virtual visit,Yes,No,,8507 - 345345853,3,,,,,,,,,,,,,,,€ 708 708 €,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9161018,1,1,,1,,74m² square meters,2,,,,,1,1,,,,,250 kWh/m² kilowatt hour per square meters,C,20180912015615,Not specified,Not specified,No,Grand' Route 69 A 1435- Corbais,http://www.gilmont.be,After signing the deed,30m² square meters,,,,,Yes,,,Installed,,,1900,Just renovated,Link to the virtual visit,Yes,No,,8506 - 345345853,3,,,,,,,,,,,,,,,€ 708 708 €,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160959,1,3,1,2,,94m² square meters,3,,,,1,,1,4m² square meters,,,,117 kWh/m² kilowatt hour per square meters,B,20180404001488,Not specified,Not specified,No,Grand' Route 69 A 1435- Corbais,http://www.gilmont.be,After signing the deed,30m² square meters,,Yes,,Gas,Yes,,,Installed,,,2008,Good,Link to the virtual visit,,No,,8499 - 345345861,3,,,,,,,,,,,,,,,"€ 1,287 1287 €",,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9162094,9,,,,,,,,,,1,,1,,,,,345 kWh/m² kilowatt hour per square meters,D,Not specified,Not specified,Not specified,No,Franchommelaan 126 8370- Blankenberge,http://www.agencecallier.be,,,,,,,,,"€ 125,000 125000 €",,,Haven,,,,,,,,,,Residentie Spinnaker,,,,,,,,,,,,,€ 272 272 €,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,
9162337,1,2,,,,143m² square meters,3,18m² square meters,17m² square meters,12m² square meters,,2,2,,,,,142 kWh/m² kilowatt hour per square meters,B,20201126-0002343809-RES-1,Not specified,Not specified,,Bondgenotenlaan 33 3000- Leuven,,,38m² square meters,,,,,No,,,Installed,15m² square meters,,1999,Good,,,No,,1590/TK/02/2021,2,,,,,,,,,Yes,No,No,No,Residential area with cultural historical aesthetic value,,,,Non flood zone,No,No,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,
9162063,1,,,,Isolated,102m² square meters,2,20m² square meters,14m² square meters,,1,,1,,,Yes,Yes,292 kWh/m² kilowatt hour per square meters,F,Not specified,58 kg CO₂/m²,Not specified,,Chaussée d’alsemberg 127 (Coin rue Antoine Bréart) 1060- Saint Gilles,http://hello@viabilis.be,After signing the deed,40m² square meters,,Yes,,Gas,Yes,,,USA semi equipped,10m² square meters,,,Good,,,No,,4250863,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9163342,1,2,,1,,93m² square meters,2,14m² square meters,14m² square meters,,1,,2,12m² square meters,,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Avenue Zénobe Gramme 30 1er étage 1301- Wavre,,After signing the deed,31m² square meters,,,,Gas,Yes,,"€ 265,000 265000 €",Installed,,,2020,,,Yes,No,,289 - 3391267,4,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9162721,15,15,,,,,3,,,,1,,,,,No,No,391 kWh/m² kilowatt hour per square meters,D,20121123-0001255444-00000002-2,Not specified,Not specified,No,Italiëlei 93 2000- Antwerpen,http://www.qvas.be,,,,Yes,No,Gas,Yes,,,Installed,,,1967,As new,Link to the virtual visit,Yes,,,202001140C,,No,,,,No,Yes,,No,Yes,,No,,"Living area (residential, urban or rural)",,€ 748 748 €,,,No,,No,No,,,,,,,,Yes,,Yes,,,No,,,,,,,,,,,,,,,,,,
9162472,3,,,,,100m² square meters,2,,,,1,,1,,,,,248 kWh/m² kilowatt hour per square meters,C,1925364,Not specified,Not specified,No,"Yv. Serruysstraat, 22 8930- Menen",,,,,Yes,,Gas,Yes,,"€ 245,000 245000 €",Installed,,,1980,Good,,Yes,No,,11602 - 291525,,,,,,,,,,,No,No,No,"Living area (residential, urban or rural)",,€ 761 761 €,,Non flood zone,,,,,No,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,
9163828,3,4,1,,"Living area (residential, urban or rural)",,1,,,,1,,1,31m² square meters,,,,107 kWh/m² kilowatt hour per square meters,B,20190506014539,Not specified,Not specified,No,Rue Natalis 2 4020- Liège,http://www.horizongroupe.com,After signing the deed,,,Yes,,Pellet,Yes,,,,,,,As new,,,No,,,4,,Résidence Albert 1er,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
9163791,1,1,,2,,102m² square meters,2,,,,1,,1,12m² square meters,,,,115 kWh/m² kilowatt hour per square meters,B,Not specified,Not specified,Not specified,No,Avenue des Ardennes 1/02 4500- Huy,http://www.immo-bertrand.be,,50m² square meters,200m² square meters,,,Gas,Yes,South East,,Installed,,,2021,,,Yes,No,,1680 - 2114,4,,,7 m,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,November 1 2021 - 12:00 AM,,,,,,,,,,,,,,,,,,,,
9162109,2,,,,"Living area (residential, urban or rural)",90m² square meters,2,11m² square meters,15m² square meters,,,,,8m² square meters,South,,Yes,236 kWh/m² kilowatt hour per square meters,C,Not specified,Not specified,Not specified,,Leopoldslei 7 2930- Brasschaat,,,,,,,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9164574,1,3,1,1,,91m² square meters,2,,,,1,,1,17m² square meters,,No,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Berglaan 40 3600- Genk,http://www.sensimmo.be,,,,Yes,No,,Yes,,,,,,2021,Good,,,No,,1111,3,No,,,Yes,,,7m² square meters,Yes,Yes,Yes,No,No,"Living area (residential, urban or rural)",,,,,No,Yes,,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
9164575,1,3,1,1,,91m² square meters,2,,,,1,,1,17m² square meters,,No,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Berglaan 40 3600- Genk,http://www.sensimmo.be,,,,Yes,No,,Yes,,,,,,2021,Good,,,No,,1111,3,No,,,Yes,,,8m² square meters,Yes,Yes,Yes,No,No,"Living area (residential, urban or rural)",,,,,No,Yes,,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
9164682,1,,,,,,3,,,,1,,2,,,,,168 kWh/m² kilowatt hour per square meters,B,20110608-0000854828-00000010-4,Not specified,Not specified,,Muntplein 2 8000- Brugge,,,,,,,,No,,,,,,,As new,,,,,1APP2009C,,,,,Yes,No,,,,,,,,,,,,,No,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
9165476,12,,,,,80m² square meters,2,,,,1,,,,,,,254 kWh/m² kilowatt hour per square meters,C,20201012004086,Not specified,23004 kWh/year,No,Chaussée de Lodelinsart 12 6060- Gilly,http://www.az-immo.be/,,,,,,,,,"€ 74,000 74000 €",,,,,,,,,,4184808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
9164576,1,3,1,1,,110m² square meters,2,,,,1,,1,76m² square meters,,No,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Berglaan 40 3600- Genk,http://www.sensimmo.be,,,,Yes,No,,Yes,,,,,,2021,Good,,,No,,1112,3,No,,,Yes,,,15m² square meters,Yes,Yes,Yes,No,No,"Living area (residential, urban or rural)",,,,,No,Yes,,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
9165094,1,3,,,,85m² square meters,2,17m² square meters,10m² square meters,,1,,1,2m² square meters,,No,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,,Rue Voot 4 1200- Woluwe,https://www.trior.be/agence-immobiliere-woluwe,After signing the deed,30m² square meters,,No,,,Yes,,,Installed,8m² square meters,,,Good,,Yes,No,,4274317,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9165517,1,2,,1,,93m² square meters,2,14m² square meters,14m² square meters,,1,,2,12m² square meters,,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Avenue Zénobe Gramme 30 1er étage 1301- Wavre,,After signing the deed,31m² square meters,,,,Gas,Yes,,"€ 265,000 265000 €",Installed,,,2020,,,Yes,No,,290 - 3391267,4,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9166149,1,,,,"Living area (residential, urban or rural)",53m² square meters,1,10m² square meters,,,1,,1,8m² square meters,South,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,"Zoning Industriel Le Cerisier, Transinne, 9 6890- Libin",http://www.batifer.be,At delivery,,,,,,,,,,,,,,,,,,,,,Résidence Santorin,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9165973,2,2,,,,76m² square meters,2,,,,,1,1,3m² square meters,,,Yes,115 kWh/m² kilowatt hour per square meters,B,Not specified,Not specified,Not specified,,Grand Place 8 1480- Tubize,http://www.impactimma.be,,27m² square meters,,,,Gas,No,,,Installed,,,,,,Yes,No,No,A2.2-1-1,4,,,,,,Yes,,Yes,,,,,,,,,,,,,,No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
9166150,1,,,,"Living area (residential, urban or rural)",53m² square meters,1,10m² square meters,,,1,,1,8m² square meters,South,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,"Zoning Industriel Le Cerisier, Transinne, 9 6890- Libin",http://www.batifer.be,At delivery,,,,,,,,,,,,,,,,,,,,,Résidence Santorin,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9166151,2,,,,"Living area (residential, urban or rural)",53m² square meters,1,10m² square meters,,,1,,1,8m² square meters,South,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,"Zoning Industriel Le Cerisier, Transinne, 9 6890- Libin",http://www.batifer.be,At delivery,,,,,,,,,,,,,,,,,,,,,Résidence Santorin,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
