,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Available date,Construction year,Building condition,Street frontage width,Number of frontages,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Basement,Attic,Furnished,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Elevator,Accessible for disabled people,Intercom,TV cable,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Total ground floor buildable,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Outdoor parking spaces,Garden surface,Garden orientation,Conformity certification for fuel tanks,Covered parking spaces,Terrace surface,Planning permission obtained,Agent's name,Garden,Terrace,E-level (overall energy performance),Neighbourhood or locality,Attic surface,Bedroom 4 surface,Bedroom 5 surface,Basement surface,Professional space surface,Secure access / alarm,Living room,How many fireplaces?,Dressing room,Laundry room,Professional space,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Obligation to build,Terrace orientation,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Isolated,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,Maximum duration of annuity,Monthly charges,Number of annexes,Percentage rented,Property name,EPC description,Extra information,Age of annuitant
10152352,10152352,house,house,550000,forsale,5640,xl,semiequipped,1842,tobedoneup,fueloil,382,5,2310,,true,2310,,true,,2,,,Namur,After signing the deed,,1842,To be done up,,3,,,800m²square meters,47m²square meters,Yes,Semi equipped,23m²square meters,5,23m²square meters,23m²square meters,23m²square meters,1,,1,25m²square meters,Yes,,,No,2310m²square meters,,,,,,,,,382 kWh/m²kilowatt hour per square meters,E,201602180018020,Not specified,157056 kWh/year,No,Fuel oil,,,,,,,,"€ 550,000550000 €",€ 716716 €,No,Chaussée de Huy 231 1325- Chaumont-Gistoux,http://www.trust-realestate.be,5666 - 4604152,Namur,,2310m²square meters,South,,2,,,,,,,,,21m²square meters,13m²square meters,38m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10043594,10043594,house,house,499000,forsale,5500,xl,notinstalled,1874,torenovate,fueloil,,16,595,true,true,329,,true,,,,,Namur,After signing the deed,September 1 2022 - 12:00 AM,1874,To renovate,17 m,2,Isolated,Link to the virtual visit,673m²square meters,54m²square meters,Yes,Not installed,41m²square meters,16,23m²square meters,21m²square meters,20m²square meters,2,2,6,20m²square meters,Yes,Yes,Yes,No,595m²square meters,17 mmeters,Connected,Yes,No,No,,Yes,No,Not specified,A++,Not specified,Not specified,Not specified,,Fuel oil,Yes,216m²square meters,No,No,No,Property partially or completely located in a possible flood zone and located in a circumscribed waterside zone,"Living area (residential, urban or rural)","Make an offer starting from€ 499,000Make an offer starting from499000 €","€ 2,5082508 €",No,Rue de la Wallonie 2A 4680- Oupeye,http://www.nigel-immo.be,4856538,Namur,,329m²square meters,,,,,,,,,,,,20m²square meters,19m²square meters,,603m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10009894,10009894,house,exceptionalproperty,499000,forsale,5500,xl,notinstalled,1874,torenovate,fueloil,,16,595,true,true,329,,true,,,,,Namur,After signing the deed,September 1 2022 - 12:00 AM,1874,To renovate,17 m,2,Isolated,Link to the virtual visit,673m²square meters,54m²square meters,Yes,Not installed,41m²square meters,16,23m²square meters,21m²square meters,20m²square meters,2,2,6,20m²square meters,Yes,Yes,Yes,No,595m²square meters,17 mmeters,Connected,Yes,No,No,,Yes,No,Not specified,A++,Not specified,Not specified,Not specified,,Fuel oil,Yes,216m²square meters,No,No,No,Property partially or completely located in a possible flood zone and located in a circumscribed waterside zone,"Living area (residential, urban or rural)","Make an offer starting from€ 499,000Make an offer starting from499000 €","€ 2,5082508 €",No,Rue de la Wallonie 2A 4680- Oupeye,http://www.nigel-immo.be,4792322,Namur,,329m²square meters,,,,,,,,,,,,20m²square meters,19m²square meters,,603m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10122995,10122995,house,house,550000,forsale,5651,xl,semiequipped,,asnew,fueloil,268,6,1228,true,true,400,true,true,,1,8,,Namur,,,,As new,25 m,4,Isolated,,330m²square meters,36m²square meters,Yes,Semi equipped,20m²square meters,6,30m²square meters,11m²square meters,10m²square meters,2,2,3,20m²square meters,Yes,Yes,Yes,No,1228m²square meters,50 mmeters,Connected,No,No,Yes,,Yes,No,268 kWh/m²kilowatt hour per square meters,D,20220822027134,67 kg CO₂/m²,88456 kWh/year,,Fuel oil,Yes,190m²square meters,,,,Non flood zone,,"Make an offer starting from€ 550,000Make an offer starting from550000 €","€ 1,1151115 €",No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4935741,Namur,8,400m²square meters,,,1,420m²square meters,,,,,,,,10m²square meters,10m²square meters,,20m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10163474,10163474,house,house,270000,forsale,5140,xl,semiequipped,,torenovate,pellet,447,4,1618,true,,,,,,,2,,Namur,After signing the deed,,,To renovate,,3,,,260m²square meters,40m²square meters,,Semi equipped,10m²square meters,4,,,,1,,1,,,,,No,1618m²square meters,,,,,,,,,447 kWh/m²kilowatt hour per square meters,F,20140729014195,Not specified,78443 kWh/year,No,Pellet,Yes,,,,,,,"€ 270,000270000 €",€ 302302 €,No,Chaussé de Nivelles 22 5140- Sombreffe,http://www.davidrobin.be,6569 - 3402,Namur,2,,South West,,,,,,Yes,,,,35m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10155845,10155845,house,house,225000,forsale,5070,xl,installed,,justrenovated,pellet,1010,2,127,,,,true,true,,1,,,Namur,After signing the deed,,,Just renovated,,3,,,130m²square meters,36m²square meters,,Installed,12m²square meters,2,17m²square meters,15m²square meters,,1,1,2,18m²square meters,Yes,,,No,127m²square meters,,,,,,,,,1010 kWh/m²kilowatt hour per square meters,G,20150928009675,252 kg CO₂/m²,72678 kWh/year,No,Pellet,,,,,,,,"€ 225,000225000 €",€ 401401 €,No,Chaussée de Huy 231 1325- Chaumont-Gistoux,http://www.trust-realestate.be,5813 - 4604162,Namur,,,,,1,15m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10116359,10116359,house,countrycottage,380000,forsale,5560,xl,,1978,good,fueloil,269,3,1865,true,true,1500,true,,,2,6,,Namur,Immediately,,1978,Good,,4,Countryside,,131m²square meters,,Yes,,,3,,,,,1,1,,No,Yes,Yes,,1865m²square meters,,,Yes,No,No,No,Yes,No,269 kWh/m²kilowatt hour per square meters,E,20220831000998,100 kg CO₂/m²,403 kWh/year,,Fuel oil,Yes,,Yes,,,Non flood zone,,"€ 380,000380000 €",,No,,,,Namur,6,1500m²square meters,,"Yes, conform",2,60m²square meters,Yes,,,,,,,,,,,Yes,Yes,1,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,All kind,,,,,,,,,,,,,,,,,,,,,,,,
10149570,10149570,house,house,265000,forsale,5190,xl,semiequipped,,good,fueloil,583,3,388,,true,120,,,,1,,,Namur,,,,Good,7 m,2,,,245m²square meters,38m²square meters,,Semi equipped,10m²square meters,3,20m²square meters,15m²square meters,11m²square meters,1,,2,,,Yes,,No,388m²square meters,15 mmeters,,Yes,,,,,,583 kWh/m²kilowatt hour per square meters,G,20221003013547,Not specified,85986 kWh/year,No,Fuel oil,Yes,,,,,,,"€ 265,000265000 €",€ 622622 €,No,Rue du centre 24 5060- Auvelais,http://www.century21.be/alliance,1219 - V645,Namur,,120m²square meters,North,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160304,10160304,house,house,149000,forsale,5580,xl,semiequipped,,torenovate,fueloil,344,3,528,,,,true,,,,,,Namur,After signing the deed,,,To renovate,,3,Isolated,,120m²square meters,35m²square meters,,Semi equipped,12m²square meters,3,12m²square meters,11m²square meters,13m²square meters,1,,2,,,,,No,528m²square meters,,Connected,,,,,,,344 kWh/m²kilowatt hour per square meters,E,20220830012296,85 kg CO₂/m²,57357 kWh/year,,Fuel oil,,,,,,,,"€ 149,000149000 €",€ 718718 €,No,Route de Marche 25 5580- Rochefort,https://honesty.be/,4966756,Namur,,,,,,45m²square meters,,,,,,Zone Province de Namur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160303,10160303,house,house,130000,forsale,5580,xl,notinstalled,1938,torenovate,fueloil,742,3,0,,,,true,,,,,,Namur,After signing the deed,,1938,To renovate,,4,Isolated,,115m²square meters,26m²square meters,,Not installed,12m²square meters,3,,,,1,,1,,,,,No,,,Connected,,,,,,,742 kWh/m²kilowatt hour per square meters,G,20210602000454,185 kg CO₂/m²,100427 kWh/year,,Fuel oil,,,,,,,,"€ 130,000130000 €",€ 423423 €,No,Route de Marche 25 5580- Rochefort,https://honesty.be/,4966646,Namur,,,,,,,,,,Yes,,Zone Province de Namur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10089832,10089832,house,house,240000,forsale,5060,xl,semiequipped,,good,fueloil,311,3,370,,true,,true,,,,,,Namur,,,,Good,,3,,,208m²square meters,40m²square meters,,Semi equipped,8m²square meters,3,16m²square meters,16m²square meters,7m²square meters,1,,1,,,Yes,,No,370m²square meters,12.26 mmeters,,Yes,,,,,,311 kWh/m²kilowatt hour per square meters,D,20170720007625,Not specified,51951 kWh/year,No,Fuel oil,Yes,,,,,,,"€ 240,000240000 €",€ 888888 €,No,Rue du centre 24 5060- Auvelais,http://www.century21.be/alliance,1207 - V616Bis,Namur,,,,,,14m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101965,10101965,house,house,290000,forsale,5555,xl,installed,1976,tobedoneup,fueloil,275,4,1080,,true,,,,,1,,,Namur,After signing the deed,,1976,To be done up,,4,,,176m²square meters,,,Installed,,4,,,,1,,1,,,Yes,,No,1080m²square meters,,,,,,,,,275 kWh/m²kilowatt hour per square meters,D,20130201021536,Not specified,Not specified,No,Fuel oil,Yes,,,,,,,"Make an offer starting from€ 290,000Make an offer starting from290000 €",€ 676676 €,No,Rue du Commerce 25 6890- Libin,http://www.immobiliere-mustang.be,235 - 1467,Namur,,,North East,,1,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10092474,10092474,house,house,249000,forsale,5300,xl,installed,1976,good,fueloil,579,3,1236,,true,1000,true,,,1,4,,Namur,After signing the deed,,1976,Good,,4,Countryside,Link to the virtual visit,81m²square meters,27m²square meters,,Installed,8m²square meters,3,11m²square meters,14m²square meters,8m²square meters,1,,1,,,,,No,1236m²square meters,,Connected,No,No,No,,,No,579 kWh/m²kilowatt hour per square meters,G,20220601023422,147 kg CO₂/m²,54180 kWh/year,,Fuel oil,,,No,,,,"Living area (residential, urban or rural)","Make an offer starting from€ 249,000Make an offer starting from249000 €",€ 862862 €,No,Chaussée Napoléon 3 4500- Huy,http://www.labelimmo.be,4782430,Namur,4,1000m²square meters,,,1,30m²square meters,,,,,,,,,,14m²square meters,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10092477,10092477,house,house,334000,forsale,5300,xl,installed,1976,good,fueloil,579,3,2157,,true,1920,true,,,1,4,,Namur,After signing the deed,,1976,Good,,4,Countryside,Link to the virtual visit,81m²square meters,27m²square meters,,Installed,8m²square meters,3,11m²square meters,14m²square meters,8m²square meters,1,,1,,,,,No,2157m²square meters,,Connected,No,No,No,,,No,579 kWh/m²kilowatt hour per square meters,G,20220601023422,147 kg CO₂/m²,54180 kWh/year,,Fuel oil,,,No,,,,"Living area (residential, urban or rural)","Make an offer starting from€ 334,000Make an offer starting from334000 €",€ 862862 €,No,Chaussée Napoléon 3 4500- Huy,http://www.labelimmo.be,4899708,Namur,4,1920m²square meters,,,1,30m²square meters,,,,,,,,,,14m²square meters,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9932008,9932008,house,house,330000,forsale,5555,xl,semiequipped,1979,good,fueloil,331,4,1427,,true,,,true,,1,,,Namur,After signing the deed,,1979,Good,,4,,,132m²square meters,,,Semi equipped,,4,,,,1,,1,8m²square meters,Yes,Yes,,No,1427m²square meters,,,,,,,,,331 kWh/m²kilowatt hour per square meters,D,20220401015521,Not specified,Not specified,No,Fuel oil,Yes,,,,,,,"Make an offer starting from€ 330,000Make an offer starting from330000 €",€ 684684 €,No,Rue du Commerce 25 6890- Libin,http://www.immobiliere-mustang.be,210 - 1442,Namur,,,South,,1,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10123623,10123623,house,apartmentblock,574000,forsale,5000,xl,installed,1950,tobedoneup,gas,301,9,20,,true,,true,,,,,,Namur,To be defined,,1950,To be done up,,2,,,340m²square meters,,,Installed,,9,40m²square meters,40m²square meters,30m²square meters,,9,9,,,Yes,,No,20m²square meters,,,,,,,,,301 kWh/m²kilowatt hour per square meters,D,20211204006594,Not specified,13352 kWh/year,No,Gas,,,,,,,,"€ 574,000574000 €","€ 1,5001500 €",Yes,Chaussée de Huy 231 1325- Chaumont-Gistoux,http://www.trust-realestate.be,5584 - 4604026,Namur,,,East,,,20m²square meters,,,Yes,,,,,30m²square meters,30m²square meters,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002281,10002281,house,countrycottage,550000,forsale,5100,xl,installed,,tobedoneup,fueloil,365,5,16504,true,,900,true,true,,,,,Namur,Immediately,,,To be done up,14 m,4,Countryside,,305m²square meters,,Yes,Installed,,5,20m²square meters,9m²square meters,7m²square meters,1,1,2,38m²square meters,Yes,,Yes,,16504m²square meters,,,No,No,No,No,Yes,No,365 kWh/m²kilowatt hour per square meters,E,202206210194407,Not specified,Not specified,,Fuel oil,Yes,,,,,Non flood zone,,"€ 550,000550000 €",,No,,,,Namur,,900m²square meters,,"Yes, conform",,21m²square meters,,,,,,,,18m²square meters,8m²square meters,,,No,Yes,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Villa,,,,,,,,,,,,,,,,,,,,,,,,
10133847,10133847,house,house,359000,forsale,5100,xl,usainstalled,1951,,gas,368,4,1597,,true,1200,true,true,,7,2,,Namur,After signing the deed,,1951,,,3,,,237m²square meters,40m²square meters,Yes,USA installed,,4,16m²square meters,16m²square meters,14m²square meters,1,,2,15m²square meters,Yes,Yes,,No,1597m²square meters,,,,,,,,,368 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,73717 kWh/year,No,Gas,,,,,,,,"€ 359,000359000 €","€ 1,3301330 €",No,Chaussée de Huy 231 1325- Chaumont-Gistoux,http://www.trust-realestate.be,5449 - 4604147,Namur,2,1200m²square meters,South,,7,100m²square meters,,,,,,,,9m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120532,10120532,house,house,350000,forsale,5140,xl,semiequipped,1908,tobedoneup,fueloil,381,4,2178,,,,true,,,,,,Namur,,,1908,To be done up,,4,,,200m²square meters,,Yes,Semi equipped,15m²square meters,4,15m²square meters,12m²square meters,12m²square meters,1,,2,,,,,No,2178m²square meters,,,,,,,,,381 kWh/m²kilowatt hour per square meters,E,20220913013320,94 kg CO₂/m²,85591 kWh/year,No,Fuel oil,Yes,,,,,,,"€ 350,000350000 €",€ 724724 €,No,Chaussé de Nivelles 22 5140- Sombreffe,http://www.davidrobin.be,6513 - 3368,Namur,,,South,,,40m²square meters,,,Yes,,,,,12m²square meters,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9931331,9931331,house,house,235000,forsale,5060,xl,semiequipped,1960,good,gas,470,3,795,true,true,650,true,,,2,2,,Namur,After signing the deed,August 1 2022 - 12:00 AM,1960,Good,,3,Isolated,,200m²square meters,24m²square meters,Yes,Semi equipped,13m²square meters,3,9m²square meters,12m²square meters,15m²square meters,1,,1,,,Yes,Yes,No,795m²square meters,,Connected,Yes,No,No,,Yes,No,470 kWh/m²kilowatt hour per square meters,F,20220523029419,89 kg CO₂/m²,65896 kWh/year,,Gas,Yes,,,,,,,"Make an offer starting from€ 235,000Make an offer starting from235000 €",€ 921921 €,No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4759093,Namur,2,650m²square meters,,,2,20m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
